Index;Inhibitor;Metal;Alloy;Temperature_K;pH;Salt_Concentration;Efficiency
1;2-Mercaptoacetic acid;Al;AA2024;298;7;0.1;96
2;2-Mercaptobenzimidazole;Al;AA2024;298;7;0.1;90
3;2-Mercaptobenzothiazole / MBT / 1,3-Benzothiazole-2(3H)-thione;Al;AA2024;298;7;0.1;95
4;2-Mercaptobenzothiazole / MBT / 1,3-Benzothiazole-2(3H)-thione;Al;AA7075;298;7;0.1;91
5;3-Mercaptopropanoic acid;Al;AA2024;298;7;0.1;100
6;4-Mercaptobenzoic acid;Al;AA2024;298;7;0.1;97
7;6-Amino-2-mercaptobenzothiazole;Al;AA7075;298;7;0.1;94
8;6-Mercaptonicotinic acid;Al;AA2024;298;7;0.1;94
9;Benzotriazole;Al;AA2024;298;7;0.1;98
10;Benzotriazole;Al;AA7075;298;7;0.1;92
11;Diethyldithiocarbamic acid;Al;AA2024;298;7;0.1;97
12;Diethyldithiocarbamic acid;Al;AA7075;298;7;0.1;96
13;5,5'-Dithiobis(2-nitrobenzoic acid);Al;AA2024;298;7;0.6;94.4
14;5,5'-Dithiobis(2-nitrobenzoic acid);Al;AA2024;298;7;0.6;90.4
15;5,5'-Dithiobis(2-nitrobenzoic acid);Al;AA2024;298;7;0.6;90
16;5,5'-Dithiobis(2-nitrobenzoic acid);Al;AA2024;308;7;0.6;92.4
17;Sodium sulfite;Al;AA2024;298;7;0.6;98.5
18;Sodium sulfite;Al;AA2024;298;7;0.6;98.7
19;Sodium sulfite;Al;AA2024;308;7;0.6;95.5
20;Sodium sulfite;Al;AA2024;308;7;0.6;96
21;Sodium sulfite;Al;AA2024;318;7;0.6;92.7
22;Sodium sulfite;Al;AA2024;318;7;0.6;94
23;Sodium sulfite;Al;AA2024;328;7;0.6;91.7
24;Disodium-N-octyliminodiacetate;Al;AA2024;303;7;0.6;90.02
25;Disodium-N-decyliminodiacetate;Al;AA2024;303;7;0.6;90.89
26;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;91.79
27;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;92.19
28;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;91.45
29;Disodium-N-octyliminodiacetate;Al;AA2024;303;7;0.6;90.18
30;Disodium-N-decyliminodiacetate;Al;AA2024;303;7;0.6;90.38
31;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;91.78
32;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;92.25
33;Disodium-N-dodecyliminodiacetate;Al;AA2024;303;7;0.6;91.45
34;Cerium (III) ammonium nitrate;Al;AA2024;298;05. Apr;0.01;90.1
35;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;91.7
36;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;94.6
37;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;96
38;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;96.8
39;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;97
40;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;97.3
41;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;97.5
42;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;91.3
43;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;93.5
44;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;96.3
45;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;96.5
46;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;96.7
47;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;97.3
48;Cerium(III) sulfate;Al;AA2024;298;7;0.01;94.3
49;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.6
50;Cerium(III) sulfate;Al;AA2024;298;7;0.01;91.5
51;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93
52;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.3
53;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.4
54;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.9
55;Cerium(III) chloride;Al;AA2024;298;7;0.01;93.6
56;Cerium(III) chloride;Al;AA2024;298;7;0.01;95.9
57;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;93.8
58;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;94.9
59;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;96
60;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;96.3
61;Cerium(III) nitrate ;Al;AA2024;298;7;0.01;97.4
62;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;91
63;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;94.2
64;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;95.7
65;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;96.2
66;Cerium(IV) ammonium nitrate;Al;AA2024;298;7;0.01;97.3
67;Cerium(III) sulfate;Al;AA2024;298;7;0.01;91.7
68;Cerium(III) sulfate;Al;AA2024;298;7;0.01;92.3
69;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.3
70;Cerium(III) sulfate;Al;AA2024;298;7;0.01;93.8
71;Cerium(III) chloride;Al;AA2024;298;7;0.01;90.7
72;Direct Blue15;Al;AA5005;298;7;0.5;90.76
73;Direct Blue15;Al;AA5005;298;7;0.5;90.58
74;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
75;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
76;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
77;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
78;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
79;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
80;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
81;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
82;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
83;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
84;Ferrous Gluconate;Al;AA2024;301;7;0.05;99.9
85;Ferrous Gluconate;Al;AA2024;301;7;0.05;90
86;Ferrous Gluconate;Al;AA2024;301;7;0.05;90
87;Ferrous Gluconate;Al;AA2024;301;7;0.05;92
88;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
89;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
90;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
91;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
92;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
93;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
94;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
95;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
96;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
97;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
98;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
99;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
100;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
100;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
101;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
102;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
103;Zinc Gluconate;Al;AA2024;301;7;0.05;99.9
104;Zinc Gluconate;Al;AA2024;301;7;0.05;90
105;Zinc Gluconate;Al;AA2024;301;7;0.05;91
106;Zinc Gluconate;Al;AA2024;301;7;0.05;91
107;Zinc Gluconate;Al;AA2024;301;7;0.05;92
108;Zinc Gluconate;Al;AA2024;301;7;0.05;93
109;Zinc Gluconate;Al;AA2024;301;7;0.05;94
110;2,4-Dihydroxybenzaldehyde thiosemicarbazone;Al;AA2024;303;7;0.6;91.72
111;2,4-Dihydroxybenzaldehyde thiosemicarbazone;Al;AA2024;303;7;0.6;90
112;(2,3,4-Trihydroxybenzylidene)hydrazinecarbothioamide;Al;AA2024;303;7;0.6;90.86
113;(2,3,4-Trihydroxybenzylidene)hydrazinecarbothioamide;Al;AA2024;303;7;0.6;91.57
114;(2,3,4-Trihydroxybenzylidene)hydrazinecarbothioamide;Al;AA2024;303;7;0.6;95.02
115;(2,3,4-Trihydroxybenzylidene)hydrazinecarbothioamide;Al;AA2024;303;7;0.6;94.6
116;(2,3,4-Trihydroxybenzylidene)hydrazinecarbothioamide;Al;AA2024;303;7;0.6;95.93
117;6-Diallylamino-1,3,5-triazine-2,4-dithiol monosodium;Al;AA5052;303;7;0.5;94
118;Benzotriazole;Al;AA2024;293;7;0.05;98.1
119;Benzotriazole;Al;AA2024;293;7;0.05;97.8
120;5-Chlorobenzotriazole;Al;AA2024;293;7;0.05;98.1
121;5-Chlorobenzotriazole;Al;AA2024;293;7;0.05;97.8
122;Methyl 1-H-benzotriazole-1-carboxylate;Al;AA2024;293;7;0.05;96.4
123;Methyl 1-H-benzotriazole-1-carboxylate;Al;AA2024;293;7;0.05;97.4
124;2-Mercaptobenzothiazole / MBT / 1,3-Benzothiazole-2(3H)-thione;Al;AA2024;293;7;0.05;99.4
125;2-Mercaptobenzothiazole / MBT / 1,3-Benzothiazole-2(3H)-thione;Al;AA2024;293;7;0.05;98.3
